Local_short_NAME,KRX_code,isin_code,Asset,sub_strategy,region,inception,TER
KIWOOM 국고채10년,148070,KR7148070006,BOND,10Y,국내,2011-10-20,0.05
SOL 국고채10년,438570,KR7438570004,BOND,10Y,국내,2022-09-06,0.05
ACE 국고채10년,365780,KR7365780006,BOND,10Y,국내,2020-10-15,0.02
PLUS 국고채10년액티브,461460,KR7461460008,BOND,10Y,국내,2023-07-18,0.045
PLUS 국채선물10년,289670,KR7289670002,BOND,10Y,국내,2018-02-07,0.05
RISE 국채선물10년,295000,KR7295000004,BOND,10Y,국내,2018-05-11,0.07
KODEX 국채선물10년,152380,KR7152380002,BOND,10Y,국내,2012-01-20,0.07
ACE 단기통안채,190620,KR7190620005,BOND,ShortTerm,국내,2013-12-23,0.07
KODEX 단기채권,153130,KR7153130000,BOND,ShortTerm,국내,2012-02-22,0.15
KODEX 단기채권PLUS,214980,KR7214980005,BOND,ShortTerm,국내,2015-03-03,0.15
RISE 단기통안채,196230,KR7196230007,BOND,ShortTerm,국내,2014-05-19,0.13
TIGER 단기통안채,157450,KR7157450008,BOND,ShortTerm,국내,2012-05-16,0.07
KIWOOM 통안채1년,122260,KR7122260003,BOND,ShortTerm,국내,2010-01-14,0.05
TIGER 단기채권액티브,272580,KR7272580002,BOND,ShortTerm,국내,2017-06-29,0.06
TIGER 25-10 회사채(A+이상)액티브,453540,KR7453540007,BOND,ShortTerm,국내,2023-03-23,0.1
RISE 머니마켓액티브,455890,KR7455890004,BOND,ShortTerm,국내,2023-05-09,0.05
RISE 단기채권알파액티브,385550,KR7385550009,BOND,ShortTerm,국내,2021-05-26,0.05
KIWOOM 단기자금,130730,KR7130730005,BOND,ShortTerm,국내,2010-07-29,0.05
PLUS 우량회사채50,239660,KR7239660004,BOND,ShortTerm,국내,2016-03-22,0.135
WON 단기국공채액티브,458030,KR7458030004,BOND,ShortTerm,국내,2023-05-26,0.065
KODEX 단기변동금리부채권액티브,273140,KR7273140004,BOND,ShortTerm,국내,2017-06-29,0.15
SOL KIS단기통안채,363510,KR7363510009,BOND,ShortTerm,국내,2020-09-09,0.07
KIWOOM 단기채권ESG액티브,419890,KR7419890009,BOND,ShortTerm,국내,2022-03-03,0.15
ACE 단기채권알파액티브,440640,KR7440640001,BOND,ShortTerm,국내,2022-08-23,0.15
ACE 26-06 회사채(AA-이상)액티브,461270,KR7461270001,BOND,ShortTerm,국내,2023-06-20,0.05
RISE 단기국공채액티브,272560,KR7272560004,BOND,ShortTerm,국내,2017-06-29,0.07
PLUS 단기채권액티브,278620,KR7278620000,BOND,ShortTerm,국내,2017-09-26,0.07
RISE 25-11 회사채(AA-이상)액티브,448600,KR7448600007,BOND,ShortTerm,국내,2022-11-22,0.07
ACE 25-06 회사채(AA-이상)액티브,461260,KR7461260002,BOND,ShortTerm,국내,2023-06-20,0.05
KODEX 미국S&P바이오(합성),185680,KR7185680006,EQUITY,헬스케어,미국,2013-10-31,0.25
KODEX 미국S&P500산업재(합성),200030,KR7200030005,EQUITY,산업재,미국,2014-06-12,0.25
TIGER 미국나스닥바이오,203780,KR7203780002,EQUITY,헬스케어,미국,2014-08-27,0.3
KODEX 미국S&P500에너지(합성),218420,KR7218420008,EQUITY,에너지,미국,2015-04-28,0.25
RISE 미국S&P원유생산기업(합성 H),219390,KR7219390002,EQUITY,에너지,미국,2015-06-02,0.25
TIGER S&P글로벌헬스케어(합성),248270,KR7248270001,EQUITY,헬스케어,글로벌,2016-07-01,0.4
TIGER S&P글로벌인프라(합성),269370,KR7269370003,EQUITY,인프라스트럭처,글로벌,2017-05-16,0.4
KODEX S&P글로벌인프라(합성),269420,KR7269420006,EQUITY,인프라스트럭처,글로벌,2017-05-16,0.26
PLUS S&P글로벌인프라,269530,KR7269530002,EQUITY,인프라스트럭처,글로벌,2017-05-16,0.3
TIGER 글로벌4차산업혁신기술(합성 H),275980,KR7275980001,EQUITY,AI(인공지능),글로벌,2017-08-01,0.4
TIGER 글로벌자원생산기업(합성 H),276000,KR7276000007,EQUITY,소재,글로벌,2017-08-01,0.4
RISE 글로벌테크놀로지(합성 H),276650,KR7276650009,EQUITY,정보기술,글로벌,2017-08-17,0.4
KODEX 글로벌로봇(합성),276990,KR7276990009,EQUITY,로보틱스,글로벌,2017-08-17,0.3
ACE 미국IT인터넷S&P(합성 H),280320,KR7280320003,EQUITY,정보기술,미국,2017-10-17,0.5
PLUS 미국나스닥테크,287180,KR7287180004,EQUITY,정보기술,미국,2017-12-13,0.5
KODEX 한국대만IT프리미어,298770,KR7298770009,EQUITY,정보기술,아시아,2018-06-11,0.55
KODEX 미국빅테크10(H),314250,KR7314250002,EQUITY,빅테크,미국,2019-01-10,0.45
HANARO 글로벌럭셔리S&P(합성),354350,KR7354350001,EQUITY,경기소비재,글로벌,2020-05-12,0.5
TIGER 글로벌클라우드컴퓨팅INDXX,371450,KR7371450008,EQUITY,클라우드컴퓨팅,글로벌,2020-12-08,0.49
TIGER 차이나전기차SOLACTIVE,371460,KR7371460007,EQUITY,차세대모빌리티,중국,2020-12-08,0.49
TIGER 차이나바이오테크SOLACTIVE,371470,KR7371470006,EQUITY,헬스케어,중국,2020-12-08,0.49
RISE 차이나항셍테크,371150,KR7371150004,EQUITY,빅테크,중국,2020-12-16,0.14
TIGER 차이나항셍테크,371160,KR7371160003,EQUITY,빅테크,중국,2020-12-16,0.09
ACE 차이나항셍테크,371870,KR7371870007,EQUITY,빅테크,중국,2020-12-16,0.25
KODEX 차이나항셍테크,372330,KR7372330001,EQUITY,빅테크,중국,2020-12-16,0.12
TIGER 미국테크TOP10 INDXX,381170,KR7381170000,EQUITY,빅테크,미국,2021-04-09,0.49
TIGER 미국필라델피아반도체나스닥,381180,KR7381180009,EQUITY,반도체,미국,2021-04-09,0.49
KODEX 미국반도체,390390,KR7390390003,EQUITY,반도체,미국,2021-06-30,0.09
KODEX 미국스마트모빌리티S&P,390400,KR7390400000,EQUITY,차세대모빌리티,미국,2021-06-30,0.09
KIWOOM 글로벌퓨처모빌리티,394350,KR7394350003,EQUITY,차세대모빌리티,글로벌,2021-07-20,0.31
TIGER 글로벌자율주행&전기차SOLACTIVE,394660,KR7394660005,EQUITY,차세대모빌리티,글로벌,2021-07-20,0.49
TIGER 글로벌리튬&2차전지SOLACTIVE(합성),394670,KR7394670004,EQUITY,2차전지(배터리),글로벌,2021-07-20,0.49
ACE 미국친환경그린테마INDXX,391600,KR7391600004,EQUITY,친환경에너지,미국,2021-08-05,0.7
TIGER 차이나클린에너지SOLACTIVE,396510,KR7396510000,EQUITY,친환경에너지,중국,2021-08-10,0.49
TIGER 차이나반도체FACTSET,396520,KR7396520009,EQUITY,반도체,중국,2021-08-10,0.49
RISE 글로벌클린에너지,399580,KR7399580000,EQUITY,친환경에너지,글로벌,2021-10-21,0.4
ACE 글로벌메타버스테크액티브,411050,KR7411050008,EQUITY,메타버스,글로벌,2021-12-22,0.5
KODEX 미국메타버스나스닥액티브,411420,KR7411420003,EQUITY,메타버스,미국,2021-12-22,0.5
TIGER 글로벌메타버스액티브,412770,KR7412770000,EQUITY,메타버스,글로벌,2021-12-22,0.79
SOL 차이나태양광CSI(합성),413220,KR7413220005,EQUITY,친환경에너지,중국,2021-12-22,0.5
PLUS 글로벌희토류&전략자원생산기업,415920,KR7415920008,EQUITY,소재,글로벌,2022-01-18,0.5
ACE 글로벌자율주행액티브,414270,KR7414270009,EQUITY,차세대모빌리티,글로벌,2022-02-15,0.29
RISE 글로벌수소경제,417450,KR7417450004,EQUITY,친환경에너지,글로벌,2022-02-15,0.4
PLUS 글로벌수소&차세대연료전지,419650,KR7419650007,EQUITY,친환경에너지,글로벌,2022-02-15,0.5
TIGER 글로벌AI사이버보안,418670,KR7418670006,EQUITY,사이버보안,글로벌,2022-02-22,0.49
HANARO 미국메타버스iSelect,419170,KR7419170006,EQUITY,메타버스,미국,2022-02-22,0.49
KODEX 미국클린에너지나스닥,419420,KR7419420005,EQUITY,친환경에너지,미국,2022-03-22,0.45
KODEX 차이나2차전지MSCI(합성),419430,KR7419430004,EQUITY,2차전지(배터리),중국,2022-03-22,0.25
SOL 한국형글로벌반도체액티브,423170,KR7423170000,EQUITY,반도체,글로벌,2022-04-12,0.55
HANARO 글로벌워터MSCI(합성),424460,KR7424460004,EQUITY,기타,글로벌,2022-04-19,0.5
KIWOOM 미국ETF산업STOXX,426330,KR7426330007,EQUITY,기타,미국,2022-04-26,0.52
KODEX 차이나메타버스액티브,428510,KR7428510002,EQUITY,메타버스,중국,2022-05-17,0.5
KODEX 미국ETF산업Top10 Indxx,428560,KR7428560007,EQUITY,기타,미국,2022-05-17,0.5
HANARO 글로벌백신치료제MSCI,432850,KR7432850006,EQUITY,헬스케어,글로벌,2022-06-08,0.5
SOL 한국형글로벌전기차&2차전지액티브,429980,KR7429980006,EQUITY,2차전지(배터리),글로벌,2022-06-14,0.55
ACE 글로벌브랜드TOP10블룸버그,435040,KR7435040001,EQUITY,기타,글로벌,2022-06-28,0.5
RISE 글로벌농업경제,437370,KR7437370000,EQUITY,기타,글로벌,2022-07-29,0.4
PLUS 글로벌AI,438210,KR7438210007,EQUITY,AI(인공지능),글로벌,2022-08-17,0.5
WON 미국우주항공방산,440910,KR7440910008,EQUITY,산업재,미국,2022-08-26,0.35
PLUS 글로벌HBM반도체,442580,KR7442580007,EQUITY,반도체,글로벌,2022-09-22,0.5
RISE 글로벌원자력,442320,KR7442320008,EQUITY,원자력발전,글로벌,2022-10-13,0.4
ACE 글로벌반도체TOP4 Plus SOLACTIVE,446770,KR7446770000,EQUITY,반도체,글로벌,2022-11-15,0.45
TIGER 한중전기차(합성),449680,KR7449680008,EQUITY,차세대모빌리티,글로벌,2022-12-22,0.35
TIGER 한중반도체(합성),449690,KR7449690007,EQUITY,반도체,글로벌,2022-12-22,0.35
KODEX 한중전기차(합성),450180,KR7450180005,EQUITY,차세대모빌리티,글로벌,2022-12-22,0.25
KODEX 한중반도체(합성),450190,KR7450190004,EQUITY,반도체,글로벌,2022-12-22,0.25
에셋플러스 글로벌영에이지액티브,451150,KR7451150007,EQUITY,내수소비,글로벌,2023-01-31,0.99
KODEX 아시아AI반도체exChina액티브,446690,KR7446690000,EQUITY,반도체,아시아,2023-02-01,0.5
KODEX 미국S&P500필수소비재,453630,KR7453630006,EQUITY,필수소비재,미국,2023-03-21,0.25
KODEX 미국S&P500헬스케어,453640,KR7453640005,EQUITY,헬스케어,미국,2023-03-21,0.25
KODEX 미국S&P500금융,453650,KR7453650004,EQUITY,금융,미국,2023-03-21,0.25
KODEX 미국S&P500경기소비재,453660,KR7453660003,EQUITY,경기소비재,미국,2023-03-21,0.25
TIGER TSMC파운드리밸류체인,453950,KR7453950008,EQUITY,반도체,글로벌,2023-04-04,0.49
KIWOOM 차이나내수소비TOP CSI,454180,KR7454180001,EQUITY,내수소비,중국,2023-04-04,0.42
KODEX 유럽명품TOP10 STOXX,456250,KR7456250000,EQUITY,경기소비재,유럽,2023-04-25,0.45
TIMEFOLIO 글로벌AI인공지능액티브,456600,KR7456600006,EQUITY,AI(인공지능),글로벌,2023-05-16,0.8
ACE 테슬라밸류체인액티브,457480,KR7457480002,EQUITY,차세대모빌리티,글로벌,2023-05-16,0.29
KODEX 테슬라밸류체인FactSet,459560,KR7459560009,EQUITY,차세대모빌리티,글로벌,2023-06-08,0.18
HANARO 글로벌생성형AI액티브,461340,KR7461340002,EQUITY,AI(인공지능),글로벌,2023-07-11,0.6
PLUS 미국테크TOP10,461900,KR7461900003,EQUITY,빅테크,미국,2023-07-18,0.01
에셋플러스 글로벌다이나믹시니어액티브,462340,KR7462340001,EQUITY,기타,글로벌,2023-07-25,0.99
KODEX 미국S&P500유틸리티,463640,KR7463640003,EQUITY,유틸리티,미국,2023-08-01,0.25
KODEX 미국S&P500테크놀로지,463680,KR7463680009,EQUITY,정보기술,미국,2023-08-01,0.25
KODEX 미국S&P500커뮤니케이션,463690,KR7463690008,EQUITY,커뮤니케이션서비스,미국,2023-08-01,0.25
HANARO 글로벌반도체TOP10 SOLACTIVE,464060,KR7464060003,EQUITY,반도체,글로벌,2023-08-01,0.45
TIGER 글로벌AI&로보틱스 INDXX,464310,KR7464310002,EQUITY,로보틱스,글로벌,2023-08-17,0.49
TIGER 글로벌혁신블루칩TOP10,464930,KR7464930007,EQUITY,빅테크,글로벌,2023-08-29,0.48
PLUS 일본반도체소부장,464920,KR7464920008,EQUITY,반도체,일본,2023-08-31,0.5
ACE 미국빅테크TOP7 Plus,465580,KR7465580009,EQUITY,빅테크,미국,2023-09-12,0.3
TIGER 일본반도체FACTSET,465660,KR7465660009,EQUITY,반도체,일본,2023-09-19,0.49
TIGER 미국캐시카우100,465670,KR7465670008,EQUITY,기타,미국,2023-09-19,0.25
TIGER 글로벌AI액티브,466950,KR7466950003,EQUITY,AI(인공지능),글로벌,2023-10-11,0.79
ACE 일본반도체,469160,KR7469160006,EQUITY,반도체,일본,2023-10-17,0.45
RISE 미국반도체NYSE(H),469050,KR7469050009,EQUITY,반도체,미국,2023-10-24,0.01
RISE 미국반도체NYSE,469060,KR7469060008,EQUITY,반도체,미국,2023-10-24,0.01
KoAct 글로벌AI&로봇액티브,471040,KR7471040006,EQUITY,로보틱스,글로벌,2023-11-21,0.5
HANARO 미국애그테크,472490,KR7472490002,EQUITY,기타,미국,2023-11-28,0.4
TIGER 미국테크TOP10 INDXX(H),472160,KR7472160001,EQUITY,빅테크,미국,2023-12-05,0.49
KIWOOM 글로벌AI반도체,473490,KR7473490001,EQUITY,AI(인공지능),글로벌,2023-12-21,0.4
KIWOOM 글로벌전력반도체,473500,KR7473500007,EQUITY,반도체,글로벌,2023-12-21,0.4
KIWOOM 미국원유에너지기업,474800,KR7474800000,EQUITY,에너지,미국,2024-01-16,0.29
HANARO 글로벌금채굴기업,473640,KR7473640001,EQUITY,소재,글로벌,2024-01-18,0.45
KoAct 글로벌기후테크인프라액티브,475070,KR7475070009,EQUITY,친환경에너지,글로벌,2024-01-18,0.5
KODEX 글로벌비만치료제TOP2 Plus,476070,KR7476070008,EQUITY,헬스케어,글로벌,2024-02-14,0.45
RISE 버크셔포트폴리오TOP10,475350,KR7475350005,EQUITY,기타,글로벌,2024-02-27,0.01
RISE 글로벌비만산업TOP2+,476310,KR7476310008,EQUITY,헬스케어,글로벌,2024-02-27,0.35
TIGER 글로벌비만치료제TOP2Plus,476690,KR7476690003,EQUITY,헬스케어,글로벌,2024-02-29,0.45
SOL 미국AI반도체칩메이커,479620,KR7479620007,EQUITY,반도체,미국,2024-04-16,0.45
TIGER 글로벌온디바이스AI,480310,KR7480310002,EQUITY,AI(인공지능),글로벌,2024-04-16,0.49
TIMEFOLIO 글로벌우주테크&방산액티브,478150,KR7478150006,EQUITY,방위산업,글로벌,2024-04-23,0.8
TIGER 인도빌리언컨슈머,479730,KR7479730004,EQUITY,내수소비,인도,2024-05-14,0.49
SOL 미국AI소프트웨어,481180,KR7481180008,EQUITY,AI(인공지능),미국,2024-05-14,0.45
SOL 미국테크TOP10,481190,KR7481190007,EQUITY,빅테크,미국,2024-05-21,0.05
KIWOOM 미국블록버스터바이오테크의약품+,483030,KR7483030003,EQUITY,헬스케어,미국,2024-05-28,0.49
ACE 엔비디아밸류체인액티브,483320,KR7483320008,EQUITY,반도체,글로벌,2024-06-11,0.45
ACE 마이크로소프트밸류체인액티브,483330,KR7483330007,EQUITY,AI(인공지능),글로벌,2024-06-11,0.45
ACE 구글밸류체인액티브,483340,KR7483340006,EQUITY,클라우드컴퓨팅,미국,2024-06-11,0.45
ACE 애플밸류체인액티브,483420,KR7483420006,EQUITY,기타,글로벌,2024-06-11,0.45
KODEX 미국AI테크TOP10,485540,KR7485540009,EQUITY,AI(인공지능),미국,2024-06-25,0.3
TIMEFOLIO 글로벌안티에이징바이오액티브,485810,KR7485810006,EQUITY,헬스케어,글로벌,2024-07-02,0.8
KODEX 미국AI전력핵심인프라,487230,KR7487230005,EQUITY,전력인프라,미국,2024-07-09,0.45
SOL 미국AI전력인프라,486450,KR7486450000,EQUITY,전력인프라,미국,2024-07-16,0.45
RISE 미국AI밸류체인TOP3Plus,485690,KR7485690002,EQUITY,AI(인공지능),미국,2024-07-23,0.01
마이다스 일본테크액티브,488290,KR7488290008,EQUITY,빅테크,일본,2024-08-06,0.65
PLUS 글로벌AI인프라,489010,KR7489010009,EQUITY,AI(인공지능),글로벌,2024-08-13,0.45
KIWOOM 글로벌전력GRID인프라,489860,KR7489860007,EQUITY,기타,글로벌,2024-08-27,0.49
TIGER 미국AI빅테크10,490090,KR7490090008,EQUITY,AI(인공지능),미국,2024-08-27,0.3
WON 미국빌리어네어,489290,KR7489290007,EQUITY,기타,미국,2024-09-03,0.49
KoAct 미국뇌질환치료제액티브,490330,KR7490330008,EQUITY,헬스케어,미국,2024-09-03,0.5
ACE 인도컨슈머파워액티브,487910,KR7487910002,EQUITY,내수소비,인도,2024-09-10,0.45
TIGER 글로벌AI전력인프라액티브,491010,KR7491010005,EQUITY,AI(인공지능),글로벌,2024-09-10,0.49
KODEX 미국테크1조달러기업포커스,491090,KR7491090007,EQUITY,빅테크,미국,2024-09-10,0.3
TIGER 미국AI반도체팹리스,491830,KR7491830006,EQUITY,AI(인공지능),미국,2024-09-24,0.49
ACE 글로벌AI맞춤형반도체,494340,KR7494340003,EQUITY,AI(인공지능),글로벌,2024-10-22,0.45
TIMEFOLIO 글로벌소비트렌드액티브,494180,KR7494180003,EQUITY,내수소비,글로벌,2024-10-29,0.8
TIGER 미국방산TOP10,494840,KR7494840002,EQUITY,방위산업,미국,2024-10-29,0.45
PLUS 글로벌방산,496770,KR7496770009,EQUITY,방위산업,글로벌,2024-11-12,0.45
ACE 글로벌빅파마,497510,KR7497510008,EQUITY,헬스케어,글로벌,2024-11-19,0.3
ACE 일라이릴리밸류체인,497520,KR7497520007,EQUITY,헬스케어,글로벌,2024-11-19,0.45
TIGER 미국필라델피아AI반도체나스닥,497570,KR7497570002,EQUITY,반도체,미국,2024-11-26,0.49
RISE 미국AI테크액티브,495940,KR7495940009,EQUITY,AI(인공지능),미국,2024-11-26,0.5
KoAct 미국천연가스인프라액티브,497780,KR7497780007,EQUITY,에너지,미국,2024-12-10,0.5
KIWOOM 미국양자컴퓨팅,498270,KR7498270008,EQUITY,기타,미국,2024-12-17,0.49
PLUS 글로벌원자력밸류체인,0007G0,KR70007G0009,EQUITY,원자력발전,글로벌,2025-01-14,0.39
